#Jukebox configuration file
#Sound file | Song Title | <0 = normal or 1 = secret>

# Normal songs
sound/music/jukebox/SongAboutHares.ogg | A Song About Hares | 0
sound/music/jukebox/BelowTheAsteroids.ogg | Below The Asteroids | 0
sound/ambience/ambispace.ogg | Beyond | 0
sound/music/clouds.s3m | Clouds of Fire | 0
sound/music/title2.ogg | D`Bert | 0
sound/ambience/song_game.ogg | D`Fort | 0
sound/music/jukebox/DuckTalesMoon.mid | Duck Tales - Moon | 0
sound/music/space.ogg | Endless Space | 0
sound/music/main.ogg | Floating | 0
sound/music/jukebox/Fly_Me_To_The_Moon.ogg | Fly Me To The Moon | 0
sound/music/jukebox/Cantina.ogg | Mad About Me | 0
sound/music/jukebox/MinorTurbulenceFull.ogg | Minor Turbulence | 0
sound/music/jukebox/OdeToGreed.ogg | Ode to Greed | 0
sound/misc/TestLoop1.ogg | Part A | 0
sound/music/jukebox/Ransacked.ogg | Ransacked | 0
sound/music/jukebox/russianrapdisco.ogg | Russkiy rep Diskoteka | 0
sound/music/title1.ogg | Scratch | 0
sound/music/space_oddity.ogg | Space Oddity | 0
sound/music/THUNDERDOME.ogg | Thunderdome | 0
sound/music/traitor.ogg | Trai`Tor | 0
sound/music/jukebox/WelcomeToJurassicPark.mid | Welcome To Jurassic Park | 0

# Secret songs!
sound/music/jukebox/bandit_radio.ogg | Bandit Radio | 1
sound/music/space_asshole.ogg | Space Asshole | 1
sound/music/THUNDERDOME.ogg | THUNDERDOME | 1
